,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
661,236218204,11/13/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920D3,F,B,52,0,45-64,M,BLACK,1008387,253290,40.861872507000044,-73.91274061599995,POINT (-73.91274061599995 40.861872507000044)
671,236212330,11/13/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,103,0,25-44,M,WHITE HISPANIC,1037949,195015,40.70179318200008,-73.80633317499998,POINT (-73.80633317499998 40.70179318200008)
687,238325474,12/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,122,0,25-44,M,WHITE HISPANIC,959176,152922,40.58638441700003,-74.09027580599997,POINT (-74.09027580599997 40.58638441700003)
753,236918579,11/24/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,104,0,25-44,M,WHITE HISPANIC,1008296,199807,40.71507634200003,-73.91326105399997,POINT (-73.91326105399997 40.71507634200003)
849,238492797,12/31/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,62,0,25-44,M,WHITE,985022,157827,40.59988309200002,-73.99722143299994,POINT (-73.99722143299994 40.59988309200002)
908,236288040,11/15/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,M,24,0,25-44,M,ASIAN / PACIFIC ISLANDER,994544,228641,40.79424503300004,-73.96282406999995,POINT (-73.96282406999995 40.79424503300004)
1056,236552310,11/20/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,112,0,25-44,M,WHITE HISPANIC,1025401,202586,40.722640996000045,-73.85154182199994,POINT (-73.85154182199994 40.722640996000045)
1070,238175111,12/22/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,13,0,25-44,M,WHITE HISPANIC,987528,207496,40.73621285000007,-73.98817307099996,POINT (-73.98817307099996 40.73621285000007)
1110,236919495,11/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0,25-44,M,BLACK,942081,166668,40.62404948900007,-74.15190896399997,POINT (-74.15190896399997 40.62404948900007)
1141,236941920,11/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,45,0,25-44,M,BLACK,1032585,238151,40.820221120000035,-73.82536852899995,POINT (-73.82536852899995 40.820221120000035)
1195,238495845,12/31/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920D3,F,B,49,0,65+,M,BLACK,1027316,255357,40.86747374200007,-73.84429472999993,POINT (-73.84429472999993 40.86747374200007)
1214,237670720,12/10/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,48,0,18-24,M,WHITE HISPANIC,1015000,247316,40.84545510700008,-73.88886051499998,POINT (-73.88886051499998 40.84545510700008)
1223,236347046,11/16/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E3,F,B,43,0,25-44,M,WHITE HISPANIC,1020219,239110,40.82291230800007,-73.87004130399998,POINT (-73.87004130399998 40.82291230800007)
1316,238339151,12/27/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E3,F,K,75,0,25-44,M,BLACK,1012687,186366,40.678170917000045,-73.89747829499998,POINT (-73.89747829499998 40.678170917000045)
1340,238496174,12/31/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,102,0,18-24,M,ASIAN / PACIFIC ISLANDER,1034948,195244,40.70243943400004,-73.81715468299996,POINT (-73.81715468299996 40.70243943400004)
1415,238011862,12/18/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL119202Y,F,K,71,0,45-64,M,BLACK,1003358,182945,40.668806093000065,-73.93112156699993,POINT (-73.93112156699993 40.66880609300006)
1464,237963071,12/16/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,110,0,25-44,M,WHITE,1027350,214375,40.75498955200004,-73.84443493799995,POINT (-73.84443493799995 40.75498955200004)
1496,236277182,11/14/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,B,42,0,25-44,M,WHITE,1012839,242402,40.831974874000025,-73.89669204099994,POINT (-73.89669204099994 40.831974874000025)
1537,238492446,12/31/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0,25-44,M,WHITE HISPANIC,944432,170275,40.633960812000055,-74.14346113399995,POINT (-74.14346113399995 40.633960812000055)
1624,237699417,12/11/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,102,0,25-44,M,BLACK,1032428,198872,40.71241149700006,-73.82621729999995,POINT (-73.82621729999995 40.71241149700006)
1900,238254373,12/24/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL1192E2S,F,B,46,0,45-64,F,BLACK,1007363,251995,40.85832086300008,-73.91644707599994,POINT (-73.91644707599994 40.85832086300008)
2037,237006807,11/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0,25-44,M,WHITE HISPANIC,945223,168709,40.629665998000064,-74.1406022,POINT (-74.1406022 40.629665998000064)
2160,238435261,12/30/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,100,0,25-44,M,WHITE HISPANIC,1036423,153354,40.587452101000046,-73.812158949,POINT (-73.812158949 40.587452101000046)
2251,236086316,11/09/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0,25-44,M,BLACK,938346,168495,40.629045647000055,-74.165376139,POINT (-74.165376139 40.629045647000055)
2268,238276272,12/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,123,0,25-44,M,WHITE,935350,141563,40.555106815000045,-74.17597464299999,POINT (-74.17597464299998 40.555106815000045)
2319,237158607,12/01/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,B,47,0,25-44,F,BLACK HISPANIC,1018222,265545,40.89547629000003,-73.87712270799993,POINT (-73.87712270799993 40.89547629000003)
2400,236237339,11/14/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920D2,F,Q,111,0,25-44,M,ASIAN / PACIFIC ISLANDER,1048659,216392,40.76039613900008,-73.76750253499995,POINT (-73.76750253499995 40.76039613900008)
2489,237219084,12/02/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,77,0,25-44,M,WHITE HISPANIC,1002590,183000,40.66895868000006,-73.93388987699996,POINT (-73.93388987699996 40.66895868000006)
2606,237576193,12/09/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,77,0,25-44,M,BLACK,1003404,183595,40.67059009900004,-73.93095390099995,POINT (-73.93095390099995 40.67059009900004)
2630,236439221,11/19/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,120,0,25-44,M,WHITE,954833,169557,40.63203070400005,-74.10598443499998,POINT (-74.10598443499998 40.63203070400005)
2724,236213629,11/13/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,K,72,0,25-44,M,WHITE,984639,179700,40.65991989500003,-73.99859937699993,POINT (-73.99859937699993 40.65991989500003)
2854,237366444,12/05/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,62,0,18-24,M,WHITE,979633,160585,40.60745207300005,-74.01662934999997,POINT (-74.01662934999997 40.60745207300005)
2856,236918313,11/24/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,102,0,45-64,M,WHITE,1028770,189638,40.687085525000036,-73.83947317699995,POINT (-73.83947317699995 40.687085525000036)
2860,237712413,12/12/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,115,3,45-64,M,WHITE HISPANIC,1018623,214936,40.75656758500002,-73.87593153399997,POINT (-73.87593153399997 40.75656758500002)
2868,236552309,11/20/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,101,0,25-44,M,BLACK,1052740,158797,40.60228092800003,-73.75335668699995,POINT (-73.75335668699995 40.60228092800003)
2878,237007271,11/28/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,40,0,45-64,M,BLACK,1004608,233083,40.80641965400008,-73.92646389299993,POINT (-73.92646389299993 40.80641965400008)
2885,238065414,12/19/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL119202U,F,B,50,0,45-64,M,WHITE HISPANIC,1012862,269499,40.906347752000045,-73.89649322899999,POINT (-73.89649322899999 40.906347752000045)
2924,236932418,11/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,66,0,18-24,M,WHITE HISPANIC,992691,171609,40.63770783700004,-73.96958779199997,POINT (-73.96958779199997 40.63770783700004)
2951,237712410,12/12/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,111,11,45-64,M,WHITE HISPANIC,1060212,213670,40.75283326700002,-73.72583036299993,POINT (-73.72583036299993 40.75283326700002)
2962,237137070,11/29/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,18,0,45-64,M,WHITE,986665,217198,40.76284267600005,-73.99128364799998,POINT (-73.99128364799998 40.76284267600005)
2973,237900661,12/15/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,123,0,45-64,M,WHITE,926731,142481,40.557574827000046,-74.20699897099996,POINT (-74.20699897099996 40.557574827000046)
2992,236619821,11/20/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,123,0,45-64,M,WHITE,936041,140436,40.55201720400004,-74.173479962,POINT (-74.173479962 40.55201720400004)
3026,236160866,11/12/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,120,0,45-64,M,WHITE,956358,169106,40.63079773900005,-74.10048833599996,POINT (-74.10048833599996 40.63079773900005)
3139,236241274,11/14/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,61,0,25-44,M,WHITE,998174,152359,40.58486362600007,-73.94987176299998,POINT (-73.94987176299998 40.58486362600007)
3198,236094204,11/10/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,M,7,0,25-44,M,WHITE HISPANIC,990464,199135,40.71326235500004,-73.97758648999995,POINT (-73.97758648999996 40.71326235500004)
3258,236677231,11/21/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,5,0,18-24,M,WHITE HISPANIC,985902,201709,40.72032939600007,-73.99404176999997,POINT (-73.99404176999997 40.72032939600007)
3274,238210656,12/22/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,32,0,25-44,M,BLACK,1001518,235386,40.81274732900005,-73.93761972199997,POINT (-73.93761972199997 40.81274732900005)
3317,237006806,11/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,113,0,45-64,M,ASIAN / PACIFIC ISLANDER,1045108,182549,40.667530621000026,-73.78062655699993,POINT (-73.78062655699993 40.667530621000026)
3510,238248853,12/23/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,62,0,25-44,M,WHITE,983988,161020,40.608647258000076,-74.00094503799994,POINT (-74.00094503799994 40.608647258000076)
3609,236394945,11/18/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,121,0,25-44,M,WHITE,942550,161369,40.60950707200004,-74.15018673599997,POINT (-74.15018673599997 40.60950707200004)
3757,236250983,11/14/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,112,0,25-44,M,WHITE,1021364,203168,40.724256301000025,-73.86610279199994,POINT (-73.86610279199994 40.724256301000025)
3816,238106261,12/21/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,111,0,25-44,M,WHITE,1055068,213954,40.753655466000055,-73.74439359899995,POINT (-73.74439359899996 40.753655466000055)
3850,236318653,11/15/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E3,F,Q,104,0,25-44,M,WHITE HISPANIC,1013108,198879,40.712514818000045,-73.89590686899999,POINT (-73.89590686899999 40.712514818000045)
3871,237323984,12/04/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,76,11,45-64,M,BLACK,984869,191097,40.691202085000036,-73.99776934499994,POINT (-73.99776934499994 40.691202085000036)
3930,237082438,11/29/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,70,0,45-64,M,WHITE,998497,162738,40.613351368000046,-73.94868699899997,POINT (-73.94868699899997 40.613351368000046)
3931,237269887,12/02/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL119202X,M,M,13,0,45-64,M,WHITE,987561,207048,40.734983188000065,-73.98805421399999,POINT (-73.98805421399999 40.73498318800006)
3958,236575763,11/20/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,K,88,0,25-44,M,BLACK,992050,191833,40.69321882100007,-73.97187397399993,POINT (-73.97187397399993 40.69321882100007)
4069,237678914,12/11/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,28,0,25-44,M,BLACK,999562,233922,40.80873266200007,-73.94468923199997,POINT (-73.94468923199997 40.80873266200007)
4132,236974310,11/27/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,90,0,25-44,F,WHITE,995022,194813,40.70139511000008,-73.961151923,POINT (-73.961151923 40.70139511000008)
4156,237740484,12/12/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,40,0,45-64,M,BLACK HISPANIC,1007371,235235,40.81231949800008,-73.91647592499999,POINT (-73.91647592499999 40.81231949800008)
4180,236973956,11/26/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,121,0,45-64,M,WHITE,945319,168815,40.62995736800008,-74.14025695699995,POINT (-74.14025695699996 40.62995736800008)
4185,238279658,12/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL1192U3S,M,Q,115,0,25-44,M,WHITE HISPANIC,1014463,214353,40.75498259300008,-73.89094972699995,POINT (-73.89094972699996 40.75498259300008)
4188,236236539,11/13/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,66,0,25-44,M,WHITE HISPANIC,991348,174237,40.644922313000045,-73.97442397199995,POINT (-73.97442397199995 40.644922313000045)
4252,236777505,11/21/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,25,0,25-44,M,BLACK,1002655,230230,40.798593235000055,-73.93352637399995,POINT (-73.93352637399995 40.798593235000055)
4255,236916243,11/24/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,113,0,45-64,M,WHITE HISPANIC,1045009,186131,40.67736305900007,-73.78095113399995,POINT (-73.78095113399996 40.67736305900007)
4315,238030363,12/18/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL1192D1C,F,K,62,0,25-44,M,WHITE HISPANIC,986812,160916,40.60836143300003,-73.99077439099993,POINT (-73.99077439099993 40.60836143300003)
4319,238056590,12/19/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,50,0,25-44,M,WHITE,1007537,260796,40.88247645300004,-73.91578747399994,POINT (-73.91578747399994 40.88247645300004)
4324,236817410,11/22/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,S,123,0,25-44,F,WHITE,926029,138052,40.54541351800003,-74.20948717799997,POINT (-74.20948717799997 40.54541351800003)
4328,238306851,12/26/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL1192UM1,M,Q,105,0,45-64,F,BLACK,1057201,203961,40.726209942000025,-73.73680324399999,POINT (-73.73680324399999 40.726209942000025)
4330,238278326,12/25/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,68,0,25-44,M,ASIAN / PACIFIC ISLANDER,975467,165907,40.622056714000045,-74.03163992699997,POINT (-74.03163992699997 40.622056714000045)
4397,236354516,11/16/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,28,0,25-44,F,BLACK,997503,233971,40.80887048200003,-73.95212695099997,POINT (-73.95212695099997 40.80887048200003)
4421,238471406,12/30/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,60,0,25-44,M,WHITE,985455,153027,40.58670800600004,-73.99566303599995,POINT (-73.99566303599995 40.58670800600004)
4523,238147694,12/21/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,78,0,25-44,M,BLACK,990749,186955,40.67983087700002,-73.97657019599995,POINT (-73.97657019599995 40.67983087700002)
4564,236059918,11/09/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,B,49,0,18-24,F,WHITE HISPANIC,1019940,251969,40.85820761700006,-73.87098093199995,POINT (-73.87098093199995 40.85820761700006)
4576,237713329,12/12/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL119202X,M,Q,105,0,25-44,M,WHITE HISPANIC,1056200,195663,40.70344220900005,-73.74050339399997,POINT (-73.74050339399997 40.70344220900005)
4596,236974553,11/26/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,62,0,45-64,M,WHITE,987465,160466,40.60712606200008,-73.98842282399994,POINT (-73.98842282399994 40.60712606200008)
4629,237355168,12/04/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,123,0,25-44,M,ASIAN / PACIFIC ISLANDER,937966,138814,40.54757538500007,-74.16654183099996,POINT (-74.16654183099996 40.54757538500007)
4968,238034639,12/19/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,120,11,25-44,M,BLACK,963013,160747,40.60787248200006,-74.07648599299995,POINT (-74.07648599299995 40.60787248200006)
4977,238346438,12/28/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,6,0,45-64,M,BLACK,981292,204912,40.729120515000034,-74.01067399699998,POINT (-74.01067399699998 40.729120515000034)
4984,237394483,12/06/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,B,46,0,25-44,M,WHITE HISPANIC,1012903,253472,40.862358540000045,-73.89641346699995,POINT (-73.89641346699995 40.86235854000005)
5019,236086491,11/09/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,106,0,25-44,M,BLACK,1024116,183555,40.670411271000035,-73.85629031799994,POINT (-73.85629031799994 40.670411271000035)
5279,237326743,12/04/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,90,0,25-44,M,ASIAN / PACIFIC ISLANDER,994838,198219,40.710744000000034,-73.961810169,POINT (-73.961810169 40.710744000000034)
5310,236030013,11/08/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,76,0,45-64,M,WHITE,984869,191097,40.691202085000036,-73.99776934499994,POINT (-73.99776934499994 40.691202085000036)
5311,236687514,11/21/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,108,0,25-44,M,WHITE HISPANIC,1011984,207806,40.73702085000008,-73.89992449299997,POINT (-73.89992449299997 40.73702085000008)
5347,236213623,11/13/2021,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL1192D1C,F,B,43,0,25-44,M,BLACK,1017429,241149,40.82851970000007,-73.88011180099994,POINT (-73.88011180099994 40.82851970000007)
5423,236335714,11/16/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,K,78,0,25-44,M,BLACK,991330,187303,40.68078561300007,-73.97447511599995,POINT (-73.97447511599995 40.68078561300007)
5426,238011196,12/17/2021,905.0,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,72,0,25-44,M,WHITE HISPANIC,978429,172967,40.641437365000044,-74.02097617899994,POINT (-74.02097617899994 40.64143736500005)
